Pions, Jun2011, 120, 630170, 1708.9, 14.728, 1528.92, 1.66449, 195.241, 2.1187
Pions_Corrected, Jun2011, 120, 630170, 1265.16, 11.1878, 2218.09, 2.08248, 245.271, 2.61057
Pions, Jun2011, 120, 630171, 359.953, 6.50528, 1526.48, 3.51915, 204.469, 4.32683
Pions_Corrected, Jun2011, 120, 630171, 263.076, 4.94693, 2214.87, 4.60695, 258.617, 5.70065
Pions, Jun2011, 32, 630172, 922.228, 11.7494, 510.406, 0.765158, 63.1549, 0.952624
Pions_Corrected, Jun2011, 32, 630172, 669.763, 8.64928, 675.157, 1.05669, 85.3969, 1.32522
Pions, Jun2011, 32, 630173, 1355, 12.8086, 528.65, 0.717182, 77.9167, 0.883248
Pions_Corrected, Jun2011, 32, 630173, 961.918, 9.20051, 699.739, 0.945723, 105.883, 1.14757
Pions, Jun2011, 32, 630175, 2066.36, 16.1149, 549.48, 0.562527, 74.5164, 0.693475
Pions_Corrected, Jun2011, 32, 630175, 1432.95, 11.3314, 735.566, 0.797742, 106.054, 0.997061
Pions, Jun2011, 32, 630176, 522.489, 8.16054, 545.088, 1.07161, 72.5733, 1.29512
Pions_Corrected, Jun2011, 32, 630176, 356.669, 5.73533, 728.341, 1.63252, 104.626, 2.07068
Pions, Jun2011, 32, 630177, 1435.62, 13.7973, 506.27, 0.679099, 72.8879, 0.869765
Pions_Corrected, Jun2011, 32, 630177, 995.797, 9.64715, 672.35, 0.994569, 104.239, 1.29041
Pions, Jun2011, 16, 630185, 2209.85, 16.4095, 257.092, 0.299312, 42.3241, 0.371588
Pions_Corrected, Jun2011, 16, 630185, 1570.38, 11.7631, 318.768, 0.430943, 59.3643, 0.546598
Pions, Jun2011, 16, 630186, 788.617, 9.81643, 257.088, 0.499353, 42.2479, 0.620621
Pions_Corrected, Jun2011, 16, 630186, 559.287, 6.97083, 318.643, 0.698327, 59.1631, 0.86229

